id,country,job_role,ai_specialization,experience_level,experience_years,salary_usd,bonus_usd,education_required,industry,company_size,interview_rounds,year,work_mode,weekly_hours,company_rating,job_openings,hiring_difficulty_score,layoff_risk,ai_adoption_score,company_funding_billion,economic_index,ai_maturity_years,offer_acceptance_rate,tax_rate_percent,vacation_days,skill_demand_score,automation_risk,job_security_score,career_growth_score,work_life_balance_score,promotion_speed,salary_percentile,cost_of_living_index,employee_satisfaction
594,Canada,NLP Engineer,Computer Vision,Mid,3,102392,7866,Bootcamp,Retail,Startup,7,2022,Onsite,41.1,3.63,15,63.701187030243204,0.235,87,2.84,48.08,11,71.35,13.6,18,64,12,65,53,77,25,31,1.6,67
595,Brazil,Machine Learning Engineer,Generative AI,Senior,10,68745,14984,Master,Gaming,Enterprise,5,2024,Remote,42.6,3.46,17,59.18366259275265,0.047,61,3.66,82.22,5,76.66,12.6,13,23,28,80,52,81,15,36,0.62,69
596,Netherlands,NLP Engineer,Forecasting,Senior,11,147371,16319,Bootcamp,Education,Startup,4,2025,Onsite,38.2,4.52,25,49.34001177464267,0.087,75,4.23,86.88,4,74.91,20.2,20,70,55,85,46,84,52,61,1.86,90
597,UAE,Data Analyst,Forecasting,Senior,11,66795,7940,PhD,Healthcare,Medium,4,2021,Remote,39.8,4.75,22,61.60959637795698,0.063,69,0.81,79.41,13,70.39,16.0,29,5,95,91,26,81,40,85,1.27,81
598,USA,Data Analyst,MLOps,Senior,9,115910,16399,PhD,Energy,Large,7,2021,Remote,40.0,4.19,12,81.38504761485333,0.077,42,7.98,52.21,11,68.73,32.3,17,57,50,81,45,87,66,2,0.7,80
599,Australia,Research Scientist,MLOps,Senior,8,133010,12058,Master,Finance,Small,3,2020,Hybrid,36.3,3.92,34,17.892583981979513,0.042,53,5.06,81.84,13,65.76,24.3,20,99,83,82,41,83,24,53,1.92,87
600,USA,Research Scientist,Generative AI,Entry,1,97488,17473,PhD,Consulting,Large,7,2025,Hybrid,40.4,4.0,9,43.66730382645164,0.405,64,5.59,80.52,4,63.38,24.5,15,90,34,65,59,72,12,65,2.22,68
601,Canada,Software Engineer AI,Analytics,Lead,12,127765,18887,Diploma,Education,Enterprise,7,2023,Remote,38.4,3.32,12,39.76483049600162,0.111,77,4.11,96.78,3,74.76,14.6,30,83,24,81,50,98,59,81,2.24,81
602,Netherlands,Data Scientist,MLOps,Entry,1,77246,15950,PhD,Telecom,Small,6,2026,Remote,36.1,4.68,33,32.94037500013176,0.407,67,4.13,62.92,4,86.27,19.4,15,32,67,62,52,89,34,92,1.84,75
603,UAE,Data Scientist,Forecasting,Lead,15,142795,19592,Master,Gaming,Large,4,2024,Remote,45.7,4.24,19,56.22772208685105,0.0,77,2.67,95.2,13,88.34,32.6,28,42,37,90,59,74,52,26,1.21,71
604,Canada,NLP Engineer,Generative AI,Senior,9,124303,10464,Bootcamp,Healthcare,Large,3,2023,Remote,44.6,4.06,11,53.56271523721967,0.116,67,3.0,67.1,3,92.55,30.2,27,83,79,76,50,68,22,81,0.82,68
605,Germany,Machine Learning Engineer,NLP,Lead,17,160110,17048,Bachelor,Retail,Medium,5,2026,Onsite,40.0,4.02,6,54.9913830747669,0.155,96,1.71,75.03,9,88.67,17.1,29,34,20,79,59,81,28,12,1.13,79
606,India,Data Scientist,Generative AI,Entry,1,29187,5700,Diploma,Tech,Enterprise,7,2022,Hybrid,50.4,3.61,23,45.16901012407565,0.317,73,6.25,81.91,4,93.32,35.1,17,92,27,63,67,57,41,25,1.71,58
607,France,Research Scientist,Generative AI,Lead,15,187383,24294,Master,Telecom,Small,6,2022,Remote,41.2,4.36,18,65.7670987060263,0.049,98,7.94,82.56,7,91.14,18.9,16,54,24,88,82,72,75,53,0.67,87
608,UK,AI Engineer,Forecasting,Senior,6,113550,24465,Master,Automotive,Small,4,2021,Onsite,44.9,3.9,9,47.31129362472003,0.088,87,6.36,45.93,13,61.06,14.8,30,59,11,83,80,72,26,2,0.98,82
609,Netherlands,Data Scientist,Generative AI,Senior,7,110930,19752,Diploma,Telecom,Small,7,2023,Onsite,45.6,3.39,33,30.547989664664907,0.073,70,0.92,58.47,7,59.01,36.2,12,13,72,77,53,60,31,8,0.77,77
610,USA,Software Engineer AI,LLM,Mid,3,105575,16149,Bachelor,Consulting,Medium,4,2025,Onsite,38.6,4.39,16,52.11245601970559,0.19,62,8.9,94.68,12,55.34,18.5,22,39,51,80,61,96,49,86,2.15,72
611,India,Data Scientist,MLOps,Entry,0,28599,1963,Master,Education,Small,6,2026,Hybrid,44.4,3.38,13,38.35735238899433,0.479,58,3.49,46.51,8,65.95,20.1,24,17,12,60,38,70,32,41,2.14,63
612,Japan,NLP Engineer,Analytics,Mid,3,67123,4724,Bachelor,Automotive,Startup,3,2021,Hybrid,47.3,3.4,23,42.77286555463925,0.196,57,6.22,71.14,7,85.04,23.3,21,56,37,74,48,57,23,34,2.24,72
613,Brazil,Research Scientist,Analytics,Senior,6,63508,5002,Diploma,Telecom,Small,3,2024,Onsite,49.6,4.43,14,59.26428333415579,0.035,76,3.24,84.53,13,56.83,18.1,30,57,7,89,44,61,47,25,1.62,65
614,UK,AI Engineer,Forecasting,Mid,4,78905,7279,PhD,Healthcare,Startup,3,2024,Onsite,45.9,3.65,14,93.37934200251482,0.27,88,4.24,89.33,10,63.38,20.8,23,15,64,61,57,65,73,6,0.88,74
615,Netherlands,Software Engineer AI,Computer Vision,Lead,13,131568,25944,Master,Consulting,Large,2,2025,Hybrid,44.8,3.88,14,68.00149870808931,0.086,86,1.16,48.62,4,87.39,40.6,16,37,24,72,50,72,31,22,1.22,89
616,Japan,Research Scientist,NLP,Mid,5,81929,11297,Diploma,Education,Startup,2,2025,Remote,50.9,3.32,23,58.829070181452124,0.211,61,1.88,85.61,10,86.81,24.3,13,43,4,71,48,54,42,37,1.29,64
617,UAE,Machine Learning Engineer,Computer Vision,Lead,17,145373,25860,PhD,Gaming,Enterprise,3,2020,Remote,42.8,4.24,31,35.73157162563872,0.067,39,9.16,66.59,4,90.77,37.4,24,91,85,90,61,80,37,62,0.98,85
618,Netherlands,Research Scientist,Forecasting,Entry,1,89314,7784,PhD,Gaming,Startup,7,2020,Onsite,40.3,3.66,17,60.11070197688499,0.311,94,3.75,85.63,12,56.18,23.4,14,28,7,60,71,68,56,83,1.32,72
619,France,Software Engineer AI,Generative AI,Entry,1,70159,12407,Bachelor,Finance,Enterprise,5,2021,Hybrid,54.5,3.83,9,63.18776441194918,0.395,50,4.74,60.0,5,55.14,33.6,17,99,52,67,52,68,21,12,2.17,60
620,USA,Data Analyst,MLOps,Mid,4,69358,14954,Master,Telecom,Large,2,2026,Hybrid,38.6,3.33,19,44.64051096634241,0.139,100,6.44,91.37,10,55.42,37.8,23,95,40,83,82,83,27,88,1.4,88
621,Brazil,Data Scientist,Reinforcement Learning,Senior,11,70078,5261,Diploma,Finance,Medium,5,2025,Hybrid,48.2,4.25,24,45.839726488137295,0.153,70,3.9,57.73,10,65.07,26.0,18,73,77,79,57,69,25,55,2.3,73
622,Canada,NLP Engineer,Generative AI,Senior,6,106991,11157,Diploma,Education,Small,2,2026,Remote,43.6,3.66,10,41.13363923683122,0.088,56,7.51,62.48,11,67.4,34.4,20,60,87,84,56,64,28,29,1.61,77
623,UAE,Data Scientist,Computer Vision,Lead,16,138981,7439,PhD,Energy,Enterprise,5,2020,Hybrid,38.5,4.77,17,45.839435288515844,0.066,61,3.45,77.75,4,83.99,25.4,25,39,20,92,41,93,29,17,0.62,87
624,UAE,Research Scientist,MLOps,Mid,5,95800,20377,Bootcamp,Energy,Large,2,2024,Onsite,49.2,4.08,23,85.87187297818897,0.176,85,7.91,54.33,4,87.7,23.1,11,66,14,78,74,62,42,66,1.09,68
625,Australia,NLP Engineer,MLOps,Entry,0,75707,16281,PhD,Consulting,Enterprise,4,2026,Onsite,48.4,4.36,11,57.0917354404564,0.446,49,5.1,84.73,4,87.6,37.6,26,3,15,59,38,71,12,95,0.65,69
626,UAE,Computer Vision Engineer,LLM,Mid,4,94070,13344,Bachelor,Healthcare,Large,5,2020,Onsite,44.7,4.55,23,79.80258224065692,0.133,91,2.0,87.12,7,70.17,26.4,20,76,93,73,66,77,27,59,0.87,70
627,UAE,Computer Vision Engineer,Reinforcement Learning,Senior,6,87014,13812,Master,Gaming,Small,2,2025,Onsite,54.8,3.34,13,70.81776930987917,0.0,75,7.79,81.07,12,91.45,14.8,18,87,14,92,69,49,52,56,1.03,66
628,Singapore,AI Engineer,LLM,Entry,1,68278,9759,Master,Telecom,Startup,7,2021,Hybrid,48.6,3.76,15,100.0,0.43,56,3.65,89.26,10,91.75,38.9,22,85,96,52,40,56,45,78,2.34,60
629,Japan,Computer Vision Engineer,Analytics,Senior,9,101674,10358,Diploma,Education,Enterprise,4,2021,Remote,38.3,4.71,19,67.76129225326655,0.012,71,1.91,66.9,5,63.26,28.5,14,2,25,90,47,88,48,15,0.72,80
630,USA,Data Analyst,NLP,Entry,1,63459,8089,Master,Retail,Large,5,2024,Onsite,38.4,4.29,8,89.3612753427774,0.348,74,2.96,75.39,11,77.54,34.1,16,12,39,70,61,95,14,99,1.04,77
631,Netherlands,Data Scientist,Computer Vision,Lead,12,151514,32829,Master,Telecom,Startup,3,2024,Onsite,46.1,3.89,1,32.303599557817314,0.0,98,2.74,70.56,14,94.1,32.3,24,63,61,84,66,60,65,3,1.31,70
632,Netherlands,Data Analyst,Generative AI,Mid,5,59154,9327,Bachelor,Automotive,Enterprise,4,2020,Remote,43.9,3.83,9,65.90890301078302,0.164,55,5.23,99.07,4,64.79,23.3,30,92,56,86,41,90,39,54,1.1,78
633,Netherlands,Research Scientist,Forecasting,Entry,0,73574,12650,Bootcamp,Consulting,Large,6,2022,Onsite,47.8,4.14,8,56.00237602727016,0.433,69,4.5,53.93,12,94.43,25.9,25,30,92,64,65,64,19,8,1.69,63
634,Singapore,AI Engineer,Computer Vision,Lead,14,141163,12625,PhD,Education,Medium,7,2022,Hybrid,45.9,3.37,16,46.88609728071928,0.096,99,8.13,97.24,10,59.37,25.8,13,64,80,92,72,74,46,83,2.38,81
635,India,Computer Vision Engineer,MLOps,Lead,15,75481,5049,Master,Tech,Small,5,2022,Hybrid,37.3,3.96,13,82.09578735950615,0.045,90,7.34,78.02,10,77.84,13.2,17,65,29,85,71,86,58,76,2.0,80
636,UAE,Software Engineer AI,Generative AI,Lead,13,120629,14309,Diploma,Healthcare,Medium,7,2026,Onsite,50.8,3.37,15,91.94480071834417,0.103,75,6.16,61.09,14,77.07,13.9,21,61,21,81,60,59,70,80,0.77,78
637,Germany,Research Scientist,NLP,Entry,0,67745,10952,Master,Consulting,Small,3,2021,Onsite,36.9,3.6,18,52.733198197368694,0.365,94,6.88,66.56,10,80.84,25.1,13,54,64,69,76,85,21,39,1.0,76
638,Germany,Data Analyst,MLOps,Entry,1,44648,4176,PhD,Tech,Medium,7,2022,Remote,49.1,3.9,20,52.24092977139596,0.387,86,2.25,51.16,5,60.64,36.6,26,5,9,64,52,68,29,44,2.27,68
639,Australia,Machine Learning Engineer,Reinforcement Learning,Mid,4,100015,17453,Diploma,Finance,Enterprise,4,2024,Hybrid,49.5,3.61,20,64.14938319069653,0.245,54,3.75,49.01,8,84.23,21.0,11,99,72,76,40,66,12,35,1.4,75
640,UK,Machine Learning Engineer,Computer Vision,Entry,1,77912,15708,Bachelor,Consulting,Large,6,2021,Onsite,37.3,3.45,31,53.029048618332205,0.308,89,2.22,94.73,4,64.23,20.7,27,6,65,64,52,98,12,14,2.2,83
641,UK,Machine Learning Engineer,MLOps,Mid,5,115608,12197,Diploma,Gaming,Small,6,2020,Hybrid,37.8,4.21,29,49.8803412499575,0.172,80,1.9,93.69,14,86.89,23.4,13,20,83,80,46,85,38,47,1.08,70
642,India,Data Scientist,Generative AI,Entry,1,30048,2546,Bachelor,Retail,Large,3,2023,Hybrid,36.7,4.2,24,55.36903112861803,0.326,90,4.85,71.96,8,60.71,13.7,19,65,22,73,64,89,12,11,1.75,68
643,France,Software Engineer AI,NLP,Lead,18,136951,12581,Bootcamp,Gaming,Small,5,2022,Remote,41.0,3.72,15,75.85600642014343,0.069,74,5.55,93.86,5,56.02,24.2,23,53,53,89,58,82,31,59,0.56,86
644,Singapore,Software Engineer AI,LLM,Entry,0,67634,9889,Bootcamp,Consulting,Small,2,2021,Remote,38.1,3.62,9,77.71518241144648,0.432,84,2.82,81.72,8,69.46,28.3,20,52,99,58,57,82,21,22,1.48,73
645,Australia,AI Engineer,LLM,Lead,14,161757,14625,Bootcamp,Tech,Small,4,2026,Hybrid,53.5,3.71,17,47.132661109969995,0.0,90,2.93,85.93,9,76.28,30.3,27,39,93,89,69,51,44,96,1.29,85
646,India,Software Engineer AI,NLP,Entry,1,31611,6668,Diploma,Automotive,Enterprise,5,2022,Onsite,50.3,3.74,25,57.99446660850368,0.394,60,9.18,66.53,6,94.6,18.2,27,80,80,72,60,67,14,84,1.59,70
647,Netherlands,Software Engineer AI,Computer Vision,Lead,16,173055,26954,Bachelor,Retail,Medium,6,2020,Hybrid,48.4,4.52,16,55.36664831998586,0.069,59,6.34,98.48,9,70.49,21.3,14,67,70,88,49,58,35,37,0.56,76
648,Germany,Machine Learning Engineer,NLP,Senior,8,127991,7171,Bachelor,Energy,Medium,2,2020,Onsite,38.9,4.78,23,58.8664067629085,0.062,85,5.47,64.85,12,87.82,23.3,18,31,100,90,81,87,38,39,2.18,86
649,Japan,NLP Engineer,MLOps,Entry,1,61702,3644,Bootcamp,Tech,Medium,4,2024,Remote,46.9,4.34,17,51.72923094351755,0.356,75,9.17,78.68,3,93.04,36.5,30,16,58,62,73,63,14,39,2.24,68
650,Brazil,AI Engineer,Reinforcement Learning,Lead,17,80735,16110,PhD,Gaming,Small,4,2023,Hybrid,52.2,4.52,13,12.462776901257847,0.08,77,6.2,93.61,13,92.48,22.2,28,87,18,82,63,56,28,92,1.09,66
651,Australia,Data Analyst,Reinforcement Learning,Entry,1,61872,11614,PhD,Gaming,Enterprise,5,2022,Remote,49.6,3.92,31,97.31775908322288,0.417,58,2.13,55.58,5,90.76,40.9,23,53,11,56,35,70,23,12,1.46,64
652,USA,NLP Engineer,Forecasting,Mid,3,120486,26057,Bachelor,Consulting,Small,4,2025,Onsite,43.5,3.9,11,63.44389305818342,0.186,54,0.72,80.73,11,57.01,31.6,22,76,72,72,47,82,36,67,2.2,83
653,Australia,Research Scientist,Forecasting,Lead,13,188991,28143,Diploma,Telecom,Large,3,2025,Remote,36.7,4.69,16,31.23215269019911,0.117,78,7.56,79.54,11,94.76,28.1,14,63,92,86,65,89,40,59,1.92,94
654,UK,Machine Learning Engineer,LLM,Mid,5,84240,9204,Master,Consulting,Large,6,2023,Hybrid,46.6,3.26,13,48.5224225519642,0.231,75,1.84,78.15,4,59.94,27.1,29,53,15,77,47,59,24,16,2.4,71
655,India,Research Scientist,Computer Vision,Entry,0,33527,3726,PhD,Energy,Small,4,2023,Hybrid,49.6,3.47,10,72.55604322799768,0.39,43,5.36,91.91,7,67.7,29.9,19,63,4,62,57,71,25,19,1.28,58
656,UK,NLP Engineer,Reinforcement Learning,Entry,0,54973,4953,Master,Automotive,Medium,7,2020,Hybrid,53.5,4.69,29,49.54433104554893,0.361,75,5.77,59.94,3,84.7,14.5,13,71,45,63,62,57,47,9,1.55,56
657,USA,NLP Engineer,Forecasting,Lead,14,167350,26432,PhD,Education,Medium,5,2022,Hybrid,39.4,4.28,16,79.70102044203836,0.127,62,6.22,62.23,14,83.06,23.6,29,17,98,79,58,76,61,18,0.5,78
658,Singapore,Computer Vision Engineer,Analytics,Lead,12,165010,24830,Bachelor,Consulting,Small,6,2023,Onsite,47.9,3.66,8,22.39048275186903,0.041,65,8.71,99.06,12,69.94,35.5,23,50,30,81,75,65,28,51,1.39,81
659,India,AI Engineer,NLP,Lead,17,72640,15208,Bachelor,Automotive,Startup,6,2025,Onsite,48.3,4.78,19,57.04763830264499,0.105,56,9.22,70.64,14,84.99,17.3,19,72,83,67,48,48,68,16,0.53,68
660,UAE,Machine Learning Engineer,LLM,Mid,2,59425,10603,Bootcamp,Education,Enterprise,6,2025,Remote,42.6,3.49,18,43.49682400902371,0.198,72,8.04,45.19,10,68.21,23.4,26,3,16,73,65,73,19,85,2.39,64
661,Singapore,Data Scientist,Reinforcement Learning,Entry,0,58235,4910,Bootcamp,Automotive,Small,5,2026,Remote,37.4,3.42,23,55.760735169369624,0.377,55,5.78,91.47,11,74.01,16.9,29,42,52,79,48,96,44,76,0.75,83
662,USA,Computer Vision Engineer,NLP,Entry,1,91006,19618,Diploma,Gaming,Large,2,2020,Onsite,52.7,4.01,6,14.865820466860342,0.447,77,8.53,80.77,8,93.25,34.9,22,33,12,57,77,51,18,15,1.31,70
663,Canada,Data Scientist,MLOps,Senior,11,129679,15533,Bachelor,Healthcare,Small,3,2021,Hybrid,51.9,3.45,28,46.88967769146437,0.14,73,4.43,83.09,9,58.73,40.1,15,8,79,93,58,62,49,42,2.15,72
664,UK,AI Engineer,Computer Vision,Entry,1,60847,6622,PhD,Automotive,Large,3,2023,Hybrid,49.7,3.56,18,99.30374908553904,0.359,88,1.65,48.76,8,74.26,17.1,18,49,16,67,54,62,19,7,1.96,73
665,Germany,Data Analyst,Generative AI,Mid,4,65233,7701,Bachelor,Consulting,Enterprise,4,2022,Remote,52.9,4.78,20,75.78508095523365,0.185,69,4.71,61.62,8,56.23,17.0,24,71,53,81,50,59,23,9,1.29,64
666,Netherlands,AI Engineer,MLOps,Lead,18,173001,36695,Bootcamp,Retail,Startup,6,2023,Onsite,43.0,4.2,17,31.054044646959337,0.147,88,4.58,71.97,4,89.9,28.4,17,98,72,77,71,65,66,84,1.46,76
667,UK,Research Scientist,Reinforcement Learning,Lead,19,178380,22457,Master,Consulting,Startup,4,2023,Onsite,45.9,3.24,21,53.27037683204675,0.022,59,5.34,69.78,5,85.34,28.4,17,69,55,82,53,68,84,72,1.8,84
668,Netherlands,AI Engineer,MLOps,Entry,1,69585,13514,Master,Consulting,Enterprise,2,2023,Remote,38.5,4.39,9,56.12131416236907,0.28,76,6.66,73.03,10,91.12,39.3,18,77,33,73,64,91,19,88,1.55,75
669,Australia,Software Engineer AI,MLOps,Mid,5,80647,9455,Bachelor,Education,Enterprise,3,2024,Onsite,39.1,3.81,26,37.938688756073354,0.153,65,5.08,89.29,11,81.13,25.1,28,9,39,77,49,93,16,12,1.8,76
670,Australia,Machine Learning Engineer,Generative AI,Mid,5,98855,21537,Master,Energy,Medium,6,2022,Onsite,43.9,4.12,12,42.25172253023658,0.128,86,2.2,63.47,8,62.28,21.7,20,82,34,84,57,65,34,97,0.6,69
671,Japan,Computer Vision Engineer,Analytics,Senior,9,103945,18974,Master,Retail,Medium,5,2023,Onsite,38.7,3.76,26,24.435419059372997,0.047,65,6.23,90.25,8,80.94,20.7,10,89,18,91,48,81,25,83,2.19,77
672,USA,Computer Vision Engineer,Generative AI,Entry,1,96671,14631,Bootcamp,Tech,Small,7,2026,Onsite,52.9,4.41,13,42.036043920700635,0.362,78,8.95,53.01,10,89.76,31.3,22,69,11,80,83,55,53,84,0.96,79
673,UAE,Machine Learning Engineer,Analytics,Entry,1,68172,7981,Diploma,Consulting,Startup,6,2023,Hybrid,49.3,4.35,26,82.25326921698883,0.372,92,7.5,49.64,9,70.8,27.5,15,99,90,55,81,62,42,2,2.18,63
674,Canada,Computer Vision Engineer,LLM,Senior,8,122697,16384,Master,Retail,Large,7,2025,Remote,50.9,3.8,13,64.1628126063486,0.032,88,6.37,77.2,7,75.09,17.9,21,25,12,99,68,57,28,79,1.96,78
675,UAE,Research Scientist,Analytics,Mid,4,88083,18122,Bachelor,Retail,Large,4,2024,Hybrid,42.0,3.71,13,22.856656924967268,0.137,61,3.68,70.34,14,64.18,17.5,29,27,1,84,52,85,22,26,2.06,82
676,UAE,NLP Engineer,Forecasting,Entry,1,71743,10144,Master,Automotive,Enterprise,6,2024,Remote,52.0,4.76,19,27.925326442936377,0.426,72,1.23,53.31,13,84.04,26.3,28,87,88,61,49,59,18,78,2.0,64
677,Brazil,Data Scientist,Computer Vision,Entry,1,30074,4204,Master,Education,Small,4,2022,Onsite,50.4,3.78,5,58.04925534841725,0.351,80,5.45,83.7,6,62.15,22.9,26,94,36,71,51,68,42,25,1.08,69
678,UAE,AI Engineer,LLM,Senior,11,109503,16888,Diploma,Energy,Large,7,2022,Onsite,38.7,4.08,10,47.4003876735146,0.053,73,1.76,96.98,13,75.71,37.0,11,42,56,88,52,94,48,53,2.01,85
679,France,Machine Learning Engineer,LLM,Lead,15,151213,7873,Master,Consulting,Medium,2,2025,Hybrid,39.9,4.44,28,56.663580652106255,0.056,69,5.11,92.92,9,63.56,29.9,27,58,41,86,52,79,31,1,0.69,88
680,Australia,Data Analyst,LLM,Senior,9,81768,14386,Master,Finance,Enterprise,7,2022,Hybrid,38.7,3.25,18,52.9997792768742,0.071,62,8.43,90.49,4,66.39,25.4,17,26,22,86,60,93,12,43,1.12,85
681,France,Machine Learning Engineer,Generative AI,Entry,1,79377,9269,Bachelor,Tech,Large,6,2024,Onsite,41.1,3.65,12,56.795371014613124,0.381,86,5.47,80.99,8,89.87,41.1,18,32,14,71,66,80,12,61,1.18,81
682,Germany,Software Engineer AI,Reinforcement Learning,Entry,0,60926,3126,Bachelor,Gaming,Enterprise,6,2026,Onsite,42.9,4.11,13,58.62449491632074,0.406,83,8.9,46.75,10,91.12,13.2,13,81,58,66,76,78,12,75,1.53,69
683,Canada,Machine Learning Engineer,Analytics,Entry,1,76070,9630,Bachelor,Tech,Large,3,2026,Remote,39.1,3.96,22,73.3869097553339,0.395,70,7.03,65.63,10,69.75,17.8,11,39,79,71,62,79,42,81,1.39,77
684,Australia,Machine Learning Engineer,LLM,Entry,1,77791,13533,PhD,Tech,Enterprise,5,2026,Hybrid,38.3,4.19,7,53.37401850081715,0.375,67,8.29,49.36,4,74.89,32.9,29,97,53,64,66,92,12,30,1.67,77
685,Brazil,AI Engineer,Generative AI,Lead,14,79725,15198,Bootcamp,Telecom,Large,6,2023,Remote,45.0,4.73,24,39.78699403887931,0.098,99,2.94,91.79,8,66.78,12.2,30,87,4,88,60,74,51,59,1.09,71
686,Singapore,Software Engineer AI,LLM,Mid,4,86288,13397,Bootcamp,Finance,Startup,7,2021,Remote,42.4,4.69,20,57.157560599591406,0.206,67,2.18,84.33,12,92.13,35.9,16,74,17,77,36,76,63,82,1.72,73
687,Singapore,Research Scientist,Forecasting,Senior,9,149115,23412,Master,Telecom,Large,3,2021,Remote,43.4,4.54,22,61.804589560454545,0.023,91,6.31,61.65,3,88.31,35.5,11,17,40,92,69,69,29,75,0.54,87
688,Australia,Software Engineer AI,NLP,Senior,11,114456,8466,Master,Education,Enterprise,5,2025,Hybrid,40.1,4.09,43,79.19981034549409,0.083,76,6.88,72.0,12,72.39,29.0,20,38,48,81,71,87,29,2,0.54,74
689,Singapore,Data Scientist,LLM,Entry,1,81760,5163,Diploma,Retail,Enterprise,4,2024,Remote,46.4,4.51,20,78.7157347423132,0.415,56,9.11,74.69,6,67.17,25.1,30,26,9,64,65,78,12,44,0.63,63
690,Germany,Computer Vision Engineer,Analytics,Lead,13,118522,24149,Bootcamp,Education,Medium,4,2023,Hybrid,46.1,4.18,12,69.38643623531041,0.152,76,9.13,70.07,8,56.55,13.0,15,14,59,77,68,70,49,6,0.68,80
691,Netherlands,Data Analyst,Forecasting,Entry,1,53364,8389,Bootcamp,Retail,Small,3,2023,Remote,37.6,3.72,9,85.02036279408127,0.424,69,2.9,63.19,10,77.54,37.6,20,95,49,62,51,75,12,27,1.27,75
692,Australia,Data Scientist,Computer Vision,Entry,1,74307,6790,PhD,Gaming,Startup,2,2025,Onsite,49.3,4.11,23,70.6610839043347,0.469,79,9.11,61.87,4,70.15,33.4,14,38,57,54,77,64,65,25,1.23,60
693,UAE,Software Engineer AI,Reinforcement Learning,Entry,0,63494,9813,PhD,Tech,Small,3,2021,Remote,47.2,3.8,34,68.7548493987741,0.326,86,8.71,71.37,7,62.88,32.4,15,44,71,72,69,63,25,32,0.94,76
694,UK,Data Analyst,Computer Vision,Entry,0,40463,3487,Bachelor,Healthcare,Medium,7,2022,Remote,38.8,4.73,13,17.43275357722871,0.41,59,3.97,65.75,9,79.73,38.3,30,15,44,57,48,83,29,27,1.4,76
695,France,Computer Vision Engineer,NLP,Mid,2,79079,5887,Bootcamp,Gaming,Medium,6,2026,Hybrid,38.5,4.72,10,82.29319211000825,0.145,74,8.22,78.18,14,91.13,23.9,12,16,19,87,69,74,19,17,2.12,74
696,Germany,Data Analyst,Generative AI,Lead,16,117159,21019,Master,Gaming,Medium,2,2026,Onsite,50.7,3.92,14,30.60845081604989,0.115,88,9.07,50.32,12,68.41,27.2,16,69,38,79,73,60,32,20,1.97,76
697,India,Data Analyst,Forecasting,Entry,0,28000,6014,Master,Automotive,Small,7,2026,Remote,50.3,3.33,13,79.98338051152061,0.41,82,3.8,64.89,10,62.28,40.8,29,9,22,53,56,63,12,66,1.93,67
698,Australia,Software Engineer AI,NLP,Lead,12,134427,14957,PhD,Energy,Large,7,2023,Hybrid,47.9,3.26,18,18.202051428380656,0.144,65,2.36,89.84,11,60.13,23.0,25,92,64,89,54,67,36,61,1.45,83
699,France,NLP Engineer,Reinforcement Learning,Entry,1,54559,3561,Diploma,Retail,Small,3,2022,Hybrid,50.8,3.39,32,82.83517636941693,0.403,64,4.91,87.37,6,89.64,40.3,19,55,49,63,68,70,46,74,1.83,60
700,UK,Software Engineer AI,NLP,Senior,6,108249,10375,Bachelor,Energy,Startup,4,2024,Hybrid,51.1,3.92,25,74.62439710584516,0.115,92,2.59,70.36,11,73.78,38.4,21,30,75,69,74,62,42,6,2.14,69
701,Netherlands,Software Engineer AI,Generative AI,Lead,19,190636,30215,Diploma,Consulting,Large,4,2020,Hybrid,39.9,3.55,8,66.32353736225201,0.006,76,3.22,88.89,8,62.6,33.6,18,49,4,87,53,85,72,23,1.17,77
702,Netherlands,Data Analyst,Computer Vision,Senior,8,88465,17636,PhD,Finance,Medium,6,2024,Onsite,48.1,3.81,28,54.281722391397054,0.081,65,1.7,66.33,11,77.22,16.2,30,11,36,88,48,65,17,30,1.27,65
703,Canada,Machine Learning Engineer,Reinforcement Learning,Entry,0,67204,9472,PhD,Gaming,Startup,3,2021,Onsite,54.5,3.97,19,44.91635153787588,0.371,81,3.65,71.48,8,67.75,35.4,18,39,96,56,58,38,20,99,1.87,59
704,UAE,Research Scientist,MLOps,Mid,4,82294,10034,Bachelor,Education,Small,4,2022,Hybrid,54.0,4.74,18,60.40315088712138,0.217,59,3.84,62.91,8,94.34,18.2,22,52,75,75,43,41,29,97,0.71,76
705,UAE,AI Engineer,Generative AI,Lead,19,156375,18145,Master,Energy,Small,3,2026,Onsite,47.2,4.14,15,40.224898740694755,0.043,83,8.5,79.92,14,75.77,36.6,16,61,30,84,78,69,39,67,2.26,81
706,Brazil,Computer Vision Engineer,Analytics,Lead,13,86411,5447,Master,Gaming,Startup,5,2020,Onsite,39.3,3.42,25,89.98451357279615,0.0,94,8.13,66.63,9,82.99,13.4,16,57,58,80,74,74,69,72,1.17,75
707,USA,Software Engineer AI,MLOps,Mid,4,97045,14005,Bachelor,Education,Small,5,2024,Onsite,48.2,3.98,20,55.42093225281126,0.264,78,3.87,79.12,8,57.8,18.2,20,29,54,77,58,70,25,55,1.17,74
708,UAE,NLP Engineer,LLM,Senior,10,108314,7401,Bootcamp,Gaming,Enterprise,2,2026,Remote,42.7,3.27,12,52.27661728414527,0.081,92,1.63,89.4,5,82.22,39.1,20,73,81,84,60,83,32,78,2.29,82
